Date,META,TSLA
2024-01-02,346.2900085449219,248.4199981689453
2024-01-03,344.4700012207031,238.4499969482422
2024-01-04,347.1199951171875,237.92999267578125
2024-01-05,351.95001220703125,237.49000549316406
2024-01-08,358.6600036621094,240.4499969482422
2024-01-09,357.42999267578125,234.9600067138672
2024-01-10,370.4700012207031,233.94000244140625
2024-01-11,369.6700134277344,227.22000122070312
2024-01-12,374.489990234375,218.88999938964844
2024-01-16,367.4599914550781,219.91000366210938
2024-01-17,368.3699951171875,215.5500030517578
2024-01-18,376.1300048828125,211.8800048828125
2024-01-19,383.45001220703125,212.19000244140625
2024-01-22,381.7799987792969,208.8000030517578
2024-01-23,385.20001220703125,209.13999938964844
2024-01-24,390.70001220703125,207.8300018310547
2024-01-25,393.17999267578125,182.6300048828125
2024-01-26,394.1400146484375,183.25
2024-01-29,401.0199890136719,190.92999267578125
2024-01-30,400.05999755859375,191.58999633789062
2024-01-31,390.1400146484375,187.2899932861328
2024-02-01,394.7799987792969,188.86000061035156
2024-02-02,474.989990234375,187.91000366210938
2024-02-05,459.4100036621094,181.05999755859375
2024-02-06,454.7200012207031,185.10000610351562
2024-02-07,469.5899963378906,187.5800018310547
2024-02-08,470.0,189.55999755859375
2024-02-09,468.1099853515625,193.57000732421875
2024-02-12,468.8999938964844,188.1300048828125
2024-02-13,460.1199951171875,184.02000427246094
2024-02-14,473.2799987792969,188.7100067138672
2024-02-15,484.0299987792969,200.4499969482422
2024-02-16,473.32000732421875,199.9499969482422
2024-02-20,471.75,193.75999450683594
2024-02-21,468.0299987792969,194.77000427246094
2024-02-22,486.1300048828125,197.41000366210938
2024-02-23,484.0299987792969,191.97000122070312
2024-02-26,481.739990234375,199.39999389648438
2024-02-27,487.04998779296875,199.72999572753906
2024-02-28,484.0199890136719,202.0399932861328
2024-02-29,490.1300048828125,201.8800048828125
2024-03-01,502.29998779296875,202.63999938964844
2024-03-04,498.19000244140625,188.13999938964844
2024-03-05,490.2200012207031,180.74000549316406
2024-03-06,496.0899963378906,176.5399932861328
2024-03-07,512.1900024414062,178.64999389648438
2024-03-08,505.95001220703125,175.33999633789062
2024-03-11,483.5899963378906,177.77000427246094
2024-03-12,499.75,177.5399932861328
2024-03-13,495.57000732421875,169.47999572753906
2024-03-14,491.8299865722656,162.5
2024-03-15,484.1000061035156,163.57000732421875
2024-03-18,496.9800109863281,173.8000030517578
2024-03-19,496.239990234375,171.32000732421875
2024-03-20,505.5199890136719,175.66000366210938
2024-03-21,507.760009765625,172.82000732421875
2024-03-22,509.5799865722656,170.8300018310547
2024-03-25,503.0199890136719,172.6300048828125
2024-03-26,495.8900146484375,177.6699981689453
2024-03-27,493.8599853515625,179.8300018310547
2024-03-28,485.5799865722656,175.7899932861328
2024-04-01,491.3500061035156,175.22000122070312
2024-04-02,497.3699951171875,166.6300048828125
2024-04-03,506.739990234375,168.3800048828125
2024-04-04,510.9200134277344,171.11000061035156
2024-04-05,527.3400268554688,164.89999389648438
2024-04-08,519.25,172.97999572753906
2024-04-09,516.9000244140625,176.8800048828125
2024-04-10,519.8300170898438,171.75999450683594
2024-04-11,523.1599731445312,174.60000610351562
2024-04-12,511.8999938964844,171.0500030517578
2024-04-15,500.2300109863281,161.47999572753906
2024-04-16,499.760009765625,157.11000061035156
2024-04-17,494.1700134277344,155.4499969482422
2024-04-18,501.79998779296875,149.92999267578125
2024-04-19,481.07000732421875,147.0500030517578
2024-04-22,481.7300109863281,142.0500030517578
2024-04-23,496.1000061035156,144.67999267578125
2024-04-24,493.5,162.1300048828125
2024-04-25,441.3800048828125,170.17999267578125
2024-04-26,443.2900085449219,168.2899932861328
2024-04-29,432.6199951171875,194.0500030517578
2024-04-30,430.1700134277344,183.27999877929688
2024-05-01,439.19000244140625,179.99000549316406
2024-05-02,441.67999267578125,180.00999450683594
2024-05-03,451.9599914550781,181.19000244140625
2024-05-06,465.67999267578125,184.75999450683594
2024-05-07,468.239990234375,177.80999755859375
2024-05-08,472.6000061035156,174.72000122070312
2024-05-09,475.4200134277344,171.97000122070312
2024-05-10,476.20001220703125,168.47000122070312
2024-05-13,468.010009765625,171.88999938964844
2024-05-14,471.8500061035156,177.5500030517578
2024-05-15,481.5400085449219,173.99000549316406
2024-05-16,473.2300109863281,174.83999633789062
2024-05-17,471.9100036621094,177.4600067138672
2024-05-20,468.8399963378906,174.9499969482422
2024-05-21,464.6300048828125,186.60000610351562
2024-05-22,467.7799987792969,180.11000061035156
2024-05-23,465.7799987792969,173.74000549316406
2024-05-24,478.2200012207031,179.24000549316406
2024-05-28,479.9200134277344,176.75
2024-05-29,474.3599853515625,176.19000244140625
2024-05-30,467.04998779296875,178.7899932861328
2024-05-31,466.8299865722656,178.0800018310547
